parse_id,line_txt,parse_rank,parse_txt,parse_meter,parse_stress,parse_score,parse_num_viols,parse_num_sylls,parse_num_words,*w_stress,*w_stress_sum,*s_unstress,*s_unstress_sum,*unres_within,*unres_within_sum,*unres_across,*unres_across_sum,*w_peak,*w_peak_sum,*s_trough,*s_trough_sum,MU,MTS
1.1,"To be, or not to be, that is the question:",1,to BE or NOT to.be THAT is.the QUES tion,-+-+--+--+-,-+-+--+--+-,0,0,11,10,0,0,0,1,0,0,0,0,0,0,0,0,2,1
1.2,"To be, or not to be, that is the question:",2,to BE or NOT to BE that IS the QUES tion,-+-+-+-+-+-,-+-+-+---+-,1,3,11,10,0,0,1,1,0,0,0,0,0,0,0,0,2,1
2.1,Whether ’tis nobler in the mind to suffer,1,WHET her TIS nobler IN the MIND to SUF fer,+-+-+-+-+-,+-+++-+-+-,1,3,10,8,1,4,0,1,0,1,0,1,0,1,0,0,4,8
2.2,Whether ’tis nobler in the mind to suffer,2,WHET her TIS.NOBLER in.the MIND to SUF fer,+-++--+-+-,+-++--+-+-,1,3,10,8,0,4,0,1,0,1,1,1,0,1,0,0,4,8
2.3,Whether ’tis nobler in the mind to suffer,3,WHET her TIS nobler IN the MIND to SUF.FER,+-+-+-+-++,+-+++-+-+-,2,6,10,8,1,4,1,1,0,1,0,1,0,1,0,0,4,8
2.4,Whether ’tis nobler in the mind to suffer,4,whet.her TIS nobler IN the MIND to SUF fer,--+-+-+-+-,+-+++-+-+-,4,12,10,8,2,4,0,1,1,1,0,1,1,1,0,0,4,8
3.1,"The slings and arrows of outrageous fortune,",1,the SLINGS and AR rows OF ou TRA geous FOR tune,-+-+-+-+-+-,-+-+---+-+-,1,3,11,7,0,2,1,10,0,2,0,1,0,2,0,0,5,17
3.2,"The slings and arrows of outrageous fortune,",2,the SLINGS and AR.ROWS of.ou TRA geous FOR tune,-+-++--+-+-,-+-+---+-+-,2,6,11,7,0,2,1,10,0,2,1,1,0,2,0,0,5,17
3.3,"The slings and arrows of outrageous fortune,",3,the SLINGS and AR rows OF ou TRA geous FOR.TUNE,-+-+-+-+-++,-+-+---+-+-,3,8,11,7,0,2,2,10,1,2,0,1,0,2,0,0,5,17
3.4,"The slings and arrows of outrageous fortune,",4,the SLINGS and AR.ROWS of OU.TRA geous FOR tune,-+-++-++-+-,-+-+---+-+-,3,9,11,7,0,2,2,10,1,2,0,1,0,2,0,0,5,17
3.5,"The slings and arrows of outrageous fortune,",5,the SLINGS and AR.ROWS of OU tra GEOUS for TUNE,-+-++-+-+-+,-+-+---+-+-,8,24,11,7,2,2,4,10,0,2,0,1,2,2,0,0,5,17
4.1,"Or to take arms against a sea of troubles,",1,or.to TAKE.ARMS a GAINST a SEA of TROU bles,--++-+-+-+-,--++-+-+-+-,1,3,11,9,0,3,0,4,0,1,1,1,0,0,0,0,4,9
4.2,"Or to take arms against a sea of troubles,",2,or TO take ARMS a GAINST a SEA of TROU bles,-+-+-+-+-+-,--++-+-+-+-,2,6,11,9,1,3,1,4,0,1,0,1,0,0,0,0,4,9
4.3,"Or to take arms against a sea of troubles,",3,or TO take ARMS a GAINST a SEA of TROU.BLES,-+-+-+-+-++,--++-+-+-+-,3,9,11,9,1,3,2,4,0,1,0,1,0,0,0,0,4,9
4.4,"Or to take arms against a sea of troubles,",4,or.to TAKE arms A.GAINST a SEA of TROU bles,--+-++-+-+-,--++-+-+-+-,3,9,11,9,1,3,1,4,1,1,0,1,0,0,0,0,4,9
5.1,"And by opposing end them? To die—to sleep,",1,and BY op PO sing END them.to DIE to SLEEP,-+-+-+--+-+,---+-+--+-+,1,3,11,9,0,2,1,4,0,0,0,0,0,0,0,0,2,6
5.2,"And by opposing end them? To die—to sleep,",2,and BY op PO sing END them TO die TO sleep,-+-+-+-+-+-,---+-+--+-+,5,16,11,9,2,2,3,4,0,0,0,0,0,0,0,0,2,6
6.1,No more; and by a sleep to say we end,1,NO more.and BY a SLEEP to SAY we END,+--+-+-+-+,+----+-+-+,1,3,10,10,0,3,1,6,0,0,0,0,0,0,0,0,3,9
6.2,No more; and by a sleep to say we end,2,NO more AND by.a SLEEP to SAY we END,+-+--+-+-+,+----+-+-+,1,3,10,10,0,3,1,6,0,0,0,0,0,0,0,0,3,9
6.3,No more; and by a sleep to say we end,3,NO more AND by A sleep TO say WE end,+-+-+-+-+-,+----+-+-+,7,23,10,10,3,3,4,6,0,0,0,0,0,0,0,0,3,9
7.1,"The heart-ache, and the thousand natural shocks",1,the HEART.ACHE and.the THOU sand NA tural SHOCKS,-++--+-+-+,-++--+-+-+,1,3,10,8,0,2,0,2,0,0,1,1,0,0,0,0,3,5
7.2,"The heart-ache, and the thousand natural shocks",2,the HEART ache AND the THOU sand NA tural SHOCKS,-+-+-+-+-+,-++--+-+-+,2,6,10,8,1,2,1,2,0,0,0,1,0,0,0,0,3,5
7.3,"The heart-ache, and the thousand natural shocks",3,THE heart ACHE and.the THOU sand NA tural SHOCKS,+-+--+-+-+,-++--+-+-+,2,6,10,8,1,2,1,2,0,0,0,1,0,0,0,0,3,5
8.1,That flesh is heir to: ’tis a consummation,1,that FLESH is HEIR to TIS a CON sum MA tion,-+-+-+-+-+-,-+-+-+-+-+-,0,0,11,8,0,0,0,1,0,1,0,1,0,0,0,0,3,3
8.2,That flesh is heir to: ’tis a consummation,2,THAT.FLESH is HEIR to TIS a CON sum MA tion,++-+-+-+-+-,++-+-+-+-+-,1,3,11,8,0,0,0,1,0,1,1,1,0,0,0,0,3,3
8.3,That flesh is heir to: ’tis a consummation,3,that FLESH is HEIR to TIS a CON sum MA.TION,-+-+-+-+-++,-+-+-+-+-+-,2,5,11,8,0,0,1,1,1,1,0,1,0,0,0,0,3,3
9.1,"Devoutly to be wish’d. To die, to sleep.",1,de VOU tly TO be WISH'D to DIE to SLEEP,-+-+-+-+-+,-+---+-+-+,1,3,10,8,0,2,1,5,0,1,0,3,0,1,0,0,5,12
9.2,"Devoutly to be wish’d. To die, to sleep.",2,de VOU tly.to BE.WISH'D to DIE to SLEEP,-+--++-+-+,-+--++-+-+,2,6,10,8,0,2,0,5,0,1,2,3,0,1,0,0,5,12
